net,length_um
uartUnit.uartRxUnit._031_,4.14µm
aluUnit._023_,4.02µm
aluUnit._028_,4.02µm
aluUnit._064_,4.02µm
uartUnit.uartTxUnit._021_,4.02µm
uartUnit.fifoTX._058_,4µm
uartUnit.uartRxUnit._023_,4µm
aluUnit._111_,3.88µm
alu_uart_interfaceUnit._086_,3.88µm
alu_uart_interfaceUnit._090_,3.76µm
uartUnit.fifoTX._014_,3.705µm
uartUnit.uartTxUnit._003_,3.705µm
uartUnit.uartRxUnit._014_,3.615µm
uartUnit.uartRxUnit._050_,3.56µm
aluUnit._020_,3.54µm
aluUnit._021_,3.54µm
aluUnit._038_,3.54µm
aluUnit._129_,3.54µm
uartUnit.baud_rateUnit._26_,3.54µm
alu_uart_interfaceUnit._036_,3.465µm
uartUnit.fifoRX._032_,3.465µm
uartUnit.fifoTX._008_,3.465µm
uartUnit.uartTxUnit._004_,3.465µm
uartUnit.uartTxUnit._042_,3.45µm
aluUnit._049_,3.44µm
uartUnit.uartRxUnit._021_,3.44µm
aluUnit._051_,3.42µm
aluUnit._068_,3.42µm
aluUnit._143_,3.42µm
aluUnit._061_,3.32µm
alu_uart_interfaceUnit._006_,3.32µm
alu_uart_interfaceUnit._020_,3.32µm
alu_uart_interfaceUnit._021_,3.32µm
uartUnit.uartRxUnit._008_,3.32µm
uartUnit.uartRxUnit._016_,3.32µm
uartUnit.uartRxUnit._013_,3.245µm
uartUnit.baud_rateUnit._23_,3.2µm
alu_uart_interfaceUnit._018_,3.175µm
uartUnit.fifoRX._014_,3.175µm
uartUnit.fifoTX._005_,3.175µm
uartUnit.uartRxUnit._003_,3.155µm
aluUnit._074_,3.1µm
alu_uart_interfaceUnit._068_,3.1µm
uartUnit.uartRxUnit._036_,3.1µm
uartUnit.uartTxUnit._076_,3.1µm
aluUnit._008_,3.08µm
aluUnit._026_,3.08µm
aluUnit._086_,3.08µm
uartUnit.fifoTX._063_,3.08µm
uartUnit.baud_rateUnit._01_,3.045µm
uartUnit.fifoRX._031_,3.045µm
uartUnit.fifoRX._024_,3.005µm
aluUnit._099_,2.98µm
alu_uart_interfaceUnit._083_,2.98µm
uartUnit.uartTxUnit._035_,2.98µm
aluUnit._071_,2.96µm
alu_uart_interfaceUnit._052_,2.96µm
uartUnit.uartTxUnit._024_,2.96µm
uartUnit.uartTxUnit._031_,2.96µm
uartUnit.baud_rateUnit._04_,2.885µm
alu_uart_interfaceUnit._026_,2.86µm
alu_uart_interfaceUnit._031_,2.86µm
alu_uart_interfaceUnit._001_,2.785µm
uartUnit.baud_rateUnit._00_,2.785µm
uartUnit.fifoRX._008_,2.785µm
uartUnit.uartRxUnit._026_,2.76µm
alu_uart_interfaceUnit._010_,2.715µm
alu_uart_interfaceUnit._019_,2.715µm
uartUnit.fifoRX._023_,2.715µm
uartUnit.fifoTX._032_,2.715µm
uartUnit.uartRxUnit._007_,2.715µm
uartUnit.uartRxUnit._018_,2.715µm
uartUnit.uartTxUnit._008_,2.715µm
aluUnit._159_,2.64µm
aluUnit._092_,2.62µm
uartUnit.uartRxUnit._020_,2.62µm
uartUnit.uartRxUnit._022_,2.62µm
alu_uart_interfaceUnit._008_,2.585µm
uartUnit.fifoRX._003_,2.585µm
alu_uart_interfaceUnit._011_,2.545µm
alu_uart_interfaceUnit._012_,2.545µm
uartUnit.uartRxUnit._000_,2.545µm
aluUnit._077_,2.525µm
aluUnit._031_,2.52µm
alu_uart_interfaceUnit._082_,2.52µm
uartUnit.baud_rateUnit._29_,2.5µm
uartUnit.uartRxUnit._052_,2.5µm
uartUnit.uartTxUnit._029_,2.5µm
uartUnit.fifoTX._006_,2.325µm
uartUnit.uartRxUnit._012_,2.325µm
uartUnit.uartTxUnit._013_,2.325µm
aluUnit._046_,2.3µm
uartUnit.fifoRX._053_,2.3µm
uartUnit.uartRxUnit._025_,2.3µm
uartUnit.fifoRX._028_,2.255µm
uartUnit.fifoRX._036_,2.255µm
uartUnit.uartTxUnit._020_,2.18µm
uartUnit.uartRxUnit._062_,2.17µm
aluUnit._017_,2.16µm
aluUnit._080_,2.16µm
aluUnit._090_,2.16µm
aluUnit._146_,2.16µm
aluUnit._157_,2.16µm
uartUnit.fifoRX._057_,2.16µm
uartUnit.fifoRX._063_,2.16µm
uartUnit.uartRxUnit._054_,2.16µm
uartUnit.uartTxUnit._025_,2.16µm
alu_uart_interfaceUnit._014_,2.145µm
alu_uart_interfaceUnit._029_,2.145µm
alu_uart_interfaceUnit._033_,2.145µm
uartUnit.uartRxUnit._002_,2.145µm
alu_uart_interfaceUnit._000_,2.125µm
uartUnit.fifoTX._011_,2.125µm
uartUnit.uartTxUnit._002_,2.125µm
alu_uart_interfaceUnit._075_,2.06µm
alu_uart_interfaceUnit._078_,2.06µm
uartUnit.fifoTX._055_,2.06µm
uartUnit.uartRxUnit._067_,2.06µm
uartUnit.uartTxUnit._027_,2.04µm
uartUnit.baud_rateUnit._02_,2.025µm
alu_uart_interfaceUnit._027_,1.865µm
alu_uart_interfaceUnit._028_,1.865µm
uartUnit.fifoRX._015_,1.865µm
uartUnit.fifoRX._019_,1.865µm
uartUnit.uartRxUnit._006_,1.865µm
aluUnit._041_,1.72µm
aluUnit._050_,1.72µm
aluUnit._032_,1.7µm
uartUnit.uartTxUnit._061_,1.7µm
alu_uart_interfaceUnit._009_,1.685µm
alu_uart_interfaceUnit._015_,1.685µm
alu_uart_interfaceUnit._016_,1.685µm
alu_uart_interfaceUnit._022_,1.685µm
uartUnit.uartTxUnit._014_,1.685µm
uartUnit.uartTxUnit._015_,1.685µm
uartUnit.uartTxUnit._016_,1.685µm
aluUnit._107_,1.68µm
aluUnit._132_,1.6µm
alu_uart_interfaceUnit._057_,1.6µm
alu_uart_interfaceUnit._003_,1.575µm
alu_uart_interfaceUnit._005_,1.575µm
alu_uart_interfaceUnit._035_,1.575µm
uartUnit.uartTxUnit._011_,1.575µm
aluUnit._078_,1.38µm
aluUnit._089_,1.38µm
aluUnit._093_,1.38µm
uartUnit.uartRxUnit._061_,1.38µm
uartUnit.uartRxUnit._064_,1.25µm
uartUnit.baud_rateUnit._22_,1.22µm
uartUnit.uartTxUnit._026_,1.14µm
aluUnit._084_,0.92µm
aluUnit._151_,0.92µm
uartUnit.fifoTX._053_,0.92µm
aluUnit._043_,0.8µm
aluUnit._059_,0.8µm
uartUnit.fifoRX._062_,0.8µm
uartUnit.baud_rateUnit._16_,0.46µm
