net,length_um
alu_uart_interfaceUnit.state\[2\],31.82µm
uartUnit.fifoRX.i_write_fifo,31.82µm
net52,31.71µm
aluUnit._154_,31.6µm
uartUnit.uartRxUnit.state\[1\],31.43µm
aluUnit.i_op\[5\],31.4µm
aluUnit.o_alu_result\[1\],31.32µm
aluUnit._076_,31.02µm
uartUnit.baud_rateUnit.counter\[0\],30.93µm
aluUnit.i_op\[1\],30.92µm
alu_uart_interfaceUnit.state\[0\],30.5µm
alu_uart_interfaceUnit.i_data_to_read\[1\],30.2µm
uartUnit.fifoRX.i_data_to_write\[3\],30.2µm
aluUnit._139_,30.18µm
alu_uart_interfaceUnit._038_,30.14µm
aluUnit._148_,29.94µm
uartUnit.uartTxUnit._040_,29.78µm
aluUnit._120_,29.7µm
net2,29.56µm
uartUnit.uartRxUnit.s\[0\],29.52µm
aluUnit.i_op\[4\],29.44µm
aluUnit._025_,29.28µm
aluUnit.o_alu_result\[3\],29.1µm
uartUnit.uartTxUnit._023_,28.3µm
uartUnit.uartTxUnit._041_,28.26µm
uartUnit.uartRxUnit._030_,27.82µm
uartUnit.fifoTX.read_ptr\[0\],27.68µm
alu_uart_interfaceUnit._093_,27.59µm
uartUnit.uartTxUnit.s\[0\],27.16µm
alu_uart_interfaceUnit._049_,26.85µm
aluUnit._047_,26.76µm
aluUnit.i_data_b\[7\],26.54µm
aluUnit._097_,26.36µm
uartUnit.uartRxUnit._039_,26.24µm
uartUnit.uartRxUnit.s\[1\],26.12µm
uartUnit.uartRxUnit.s\[2\],25.56µm
uartUnit.uartTxUnit.s\[1\],25.48µm
uartUnit.uartRxUnit._048_,25.18µm
aluUnit._115_,25.16µm
uartUnit.uartRxUnit._028_,24.72µm
net12,23.8µm
uartUnit.uartTxUnit._069_,23.52µm
uartUnit.uartTxUnit.n\[1\],23.44µm
aluUnit._040_,23.375µm
uartUnit.fifoTX.o_fifo_is_empty,23.1µm
aluUnit._048_,23.04µm
net11,23µm
aluUnit._052_,22.88µm
uartUnit.baud_rateUnit.counter\[6\],22.58µm
aluUnit._121_,22.3µm
uartUnit.fifoRX.array\[2\]\[0\],22.225µm
uartUnit.fifoRX.read_ptr\[0\],22.22µm
uartUnit.fifoRX._044_,22.14µm
uartUnit.uartRxUnit._035_,21.84µm
uartUnit.fifoRX._058_,21.74µm
uartUnit.baud_rateUnit.counter\[1\],21.685µm
aluUnit._005_,21.66µm
alu_uart_interfaceUnit.i_data_to_read\[5\],21.62µm
aluUnit._106_,21.52µm
uartUnit.uartRxUnit.state\[0\],21.48µm
uartUnit.fifoTX.read_ptr\[1\],21.18µm
aluUnit._095_,21.16µm
aluUnit._156_,21.16µm
uartUnit.fifoRX._050_,21.16µm
uartUnit.uartRxUnit._060_,21.1µm
aluUnit._004_,21.08µm
uartUnit.fifoTX._045_,20.84µm
uartUnit.fifoTX._049_,20.12µm
alu_uart_interfaceUnit._041_,19.955µm
uartUnit.uartTxUnit.state\[0\],19.91µm
aluUnit._094_,19.76µm
uartUnit.fifoRX._042_,19.62µm
uartUnit.fifoRX._045_,19.4µm
uartUnit.baud_rateUnit.counter\[3\],19.36µm
uartUnit.baud_rateUnit.counter\[4\],19.34µm
uartUnit.uartRxUnit.n\[1\],19.34µm
uartUnit.fifoTX.array\[1\]\[6\],19.18µm
uartUnit.uartRxUnit.n\[0\],19.08µm
alu_uart_interfaceUnit._076_,19.06µm
aluUnit._037_,19.04µm
aluUnit._109_,19.04µm
uartUnit.fifoTX._044_,18.9µm
uartUnit.fifoRX.array\[2\]\[2\],18.745µm
uartUnit.fifoRX.array\[1\]\[0\],18.66µm
aluUnit._001_,18.61µm
aluUnit._075_,18.36µm
uartUnit.fifoRX.o_fifo_is_full,18.24µm
uartUnit.uartRxUnit._063_,18µm
uartUnit.uartRxUnit.s\[3\],17.815µm
aluUnit._096_,17.78µm
aluUnit._158_,17.56µm
uartUnit.fifoTX.array\[0\]\[2\],17.52µm
uartUnit.uartTxUnit._045_,17.48µm
aluUnit._117_,17.42µm
uartUnit.fifoRX.array\[3\]\[2\],17.32µm
aluUnit._160_,17.22µm
uartUnit.fifoTX._054_,17.22µm
uartUnit.baud_rateUnit.counter\[2\],17.04µm
aluUnit._053_,17.02µm
aluUnit._135_,16.98µm
uartUnit.fifoRX.array\[2\]\[6\],16.825µm
uartUnit.fifoRX.read_ptr\[1\],16.8µm
uartUnit.uartTxUnit._048_,16.78µm
uartUnit.baud_rateUnit._25_,16.62µm
aluUnit._067_,16.48µm
uartUnit.uartTxUnit.n\[2\],16.42µm
uartUnit.fifoTX.array\[2\]\[6\],16.37µm
uartUnit.fifoTX.array\[1\]\[5\],16.22µm
uartUnit.fifoTX.array\[0\]\[5\],16.2µm
uartUnit.uartTxUnit._063_,16.08µm
aluUnit._152_,15.92µm
aluUnit._062_,15.84µm
aluUnit._058_,15.76µm
uartUnit.fifoRX.array\[2\]\[7\],15.745µm
aluUnit._113_,15.71µm
uartUnit.fifoTX._051_,15.68µm
aluUnit._082_,15.64µm
uartUnit.fifoRX.array\[2\]\[4\],15.63µm
uartUnit.fifoRX.array\[1\]\[6\],15.52µm
uartUnit.fifoTX._012_,15.435µm
uartUnit.uartTxUnit.send_byte\[1\],15.34µm
aluUnit._102_,15.3µm
uartUnit.fifoRX.array\[3\]\[1\],15.3µm
aluUnit._030_,15.18µm
uartUnit.uartRxUnit.n\[2\],15.18µm
uartUnit.fifoRX.array\[0\]\[4\],15.1µm
uartUnit.fifoRX._039_,15.065µm
uartUnit.fifoRX._051_,14.98µm
uartUnit.uartRxUnit._019_,14.88µm
uartUnit.fifoRX.array\[0\]\[1\],14.78µm
aluUnit._085_,14.76µm
uartUnit.baud_rateUnit.counter\[8\],14.76µm
aluUnit._035_,14.68µm
uartUnit.fifoTX._057_,14.68µm
uartUnit.fifoRX.array\[2\]\[5\],14.665µm
aluUnit._029_,14.42µm
uartUnit.baud_rateUnit.counter\[5\],14.4µm
uartUnit.fifoTX.array\[1\]\[0\],14.38µm
uartUnit.fifoTX.array\[3\]\[7\],14.38µm
uartUnit.fifoTX.array\[2\]\[5\],14.295µm
uartUnit.fifoTX.array\[3\]\[6\],14.14µm
uartUnit.uartRxUnit._038_,14.14µm
uartUnit.uartTxUnit._038_,14.14µm
uartUnit.uartTxUnit._070_,14.08µm
uartUnit.baud_rateUnit._24_,14.02µm
aluUnit._039_,13.9µm
uartUnit.fifoRX.array\[2\]\[1\],13.885µm
aluUnit._066_,13.88µm
aluUnit._009_,13.86µm
uartUnit.fifoTX.o_data_to_read\[5\],13.76µm
uartUnit.uartRxUnit._027_,13.72µm
alu_uart_interfaceUnit._039_,13.68µm
uartUnit.fifoTX.array\[2\]\[0\],13.645µm
uartUnit.fifoRX._026_,13.6µm
alu_uart_interfaceUnit._002_,13.585µm
uartUnit.fifoRX._054_,13.5µm
uartUnit.fifoTX.o_data_to_read\[7\],13.5µm
uartUnit.fifoTX._024_,13.465µm
uartUnit.fifoTX._029_,13.365µm
aluUnit._149_,13.28µm
uartUnit.fifoTX.array\[0\]\[6\],13.26µm
aluUnit._142_,13.24µm
uartUnit.fifoRX.array\[3\]\[4\],13.24µm
uartUnit.fifoTX._042_,13.22µm
uartUnit.fifoTX.array\[0\]\[3\],13.22µm
uartUnit.fifoRX.array\[0\]\[7\],13.16µm
uartUnit.fifoTX.array\[0\]\[1\],13.16µm
alu_uart_interfaceUnit._040_,13.095µm
alu_uart_interfaceUnit._047_,13.04µm
uartUnit.fifoRX._049_,13.04µm
alu_uart_interfaceUnit.wait_reg\[0\],12.94µm
uartUnit.uartRxUnit._029_,12.9µm
uartUnit.fifoTX._038_,12.805µm
uartUnit.uartTxUnit._007_,12.805µm
aluUnit._103_,12.72µm
uartUnit.fifoRX.array\[0\]\[0\],12.68µm
uartUnit.baud_rateUnit._12_,12.52µm
uartUnit.baud_rateUnit._28_,12.5µm
uartUnit.fifoRX._059_,12.42µm
aluUnit._116_,12.34µm
uartUnit.fifoRX.array\[3\]\[0\],12.34µm
aluUnit._105_,12.3µm
aluUnit.o_alu_result\[6\],12.16µm
uartUnit.uartTxUnit.send_byte\[5\],12.14µm
uartUnit.fifoRX._022_,12.085µm
uartUnit.fifoTX.array\[3\]\[2\],12.08µm
aluUnit._110_,12.06µm
uartUnit.fifoTX.array\[3\]\[0\],12µm
aluUnit._091_,11.98µm
uartUnit.uartRxUnit._040_,11.98µm
uartUnit.uartTxUnit.send_byte\[3\],11.92µm
aluUnit._122_,11.8µm
aluUnit._072_,11.78µm
aluUnit.o_alu_result\[4\],11.78µm
uartUnit.fifoRX._027_,11.725µm
aluUnit._100_,11.7µm
o_uartTx,11.68µm
uartUnit.uartTxUnit._074_,11.66µm
aluUnit._018_,11.56µm
uartUnit.fifoTX.o_data_to_read\[4\],11.52µm
uartUnit.fifoRX._005_,11.485µm
aluUnit._022_,11.48µm
uartUnit.uartTxUnit.send_byte\[4\],11.46µm
uartUnit.baud_rateUnit.counter\[7\],11.44µm
uartUnit.fifoRX.array\[1\]\[5\],11.42µm
alu_uart_interfaceUnit._048_,11.38µm
uartUnit.fifoTX._050_,11.38µm
aluUnit._054_,11.32µm
uartUnit.fifoRX.array\[0\]\[5\],11.32µm
uartUnit.fifoRX.array\[1\]\[1\],11.32µm
aluUnit._087_,11.3µm
uartUnit.baud_rateUnit._13_,11.22µm
uartUnit.uartRxUnit._049_,11.2µm
uartUnit.uartTxUnit._039_,11.2µm
uartUnit.uartTxUnit._032_,11.16µm
aluUnit.i_data_b\[1\],11.12µm
aluUnit._070_,11.1µm
uartUnit.uartTxUnit._010_,11.085µm
uartUnit.uartRxUnit._037_,11.08µm
uartUnit.fifoRX.array\[1\]\[3\],11.06µm
uartUnit.uartTxUnit._028_,11.06µm
uartUnit.fifoRX._006_,10.915µm
alu_uart_interfaceUnit._004_,10.825µm
uartUnit.uartTxUnit.s\[3\],10.8µm
aluUnit._162_,10.78µm
uartUnit.fifoTX._026_,10.78µm
uartUnit.fifoTX._043_,10.76µm
alu_uart_interfaceUnit._072_,10.74µm
uartUnit.uartTxUnit._068_,10.74µm
uartUnit.fifoRX._052_,10.72µm
aluUnit._069_,10.64µm
alu_uart_interfaceUnit._058_,10.64µm
uartUnit.fifoTX.array\[2\]\[7\],10.61µm
uartUnit.fifoRX._020_,10.565µm
uartUnit.fifoTX._041_,10.565µm
alu_uart_interfaceUnit._091_,10.42µm
uartUnit.fifoRX._021_,10.405µm
uartUnit.fifoRX.array\[1\]\[4\],10.4µm
uartUnit.uartTxUnit._064_,10.4µm
uartUnit.fifoRX.array\[3\]\[5\],10.32µm
aluUnit._027_,10.3µm
aluUnit._057_,10.3µm
uartUnit.baud_rateUnit._08_,10.285µm
uartUnit.fifoRX._009_,10.285µm
uartUnit.baud_rateUnit._14_,10.28µm
aluUnit._060_,10.2µm
alu_uart_interfaceUnit._074_,10.2µm
uartUnit.fifoRX.array\[2\]\[3\],10.14µm
uartUnit.fifoRX._038_,10.065µm
uartUnit.fifoRX._043_,10.04µm
aluUnit._161_,9.9µm
aluUnit._118_,9.88µm
alu_uart_interfaceUnit._085_,9.88µm
alu_uart_interfaceUnit.wait_reg\[1\],9.87µm
aluUnit._012_,9.86µm
aluUnit._003_,9.82µm
uartUnit.fifoRX.array\[3\]\[3\],9.7µm
uartUnit.fifoTX._023_,9.685µm
alu_uart_interfaceUnit._084_,9.66µm
uartUnit.uartTxUnit._065_,9.64µm
uartUnit.fifoTX._019_,9.445µm
uartUnit.fifoTX._034_,9.405µm
aluUnit._063_,9.38µm
aluUnit._104_,9.36µm
uartUnit.uartTxUnit.send_byte\[6\],9.36µm
aluUnit._155_,9.34µm
aluUnit._019_,9.32µm
uartUnit.baud_rateUnit._18_,9.32µm
uartUnit.fifoTX.array\[3\]\[3\],9.22µm
uartUnit.fifoTX._010_,9.185µm
uartUnit.fifoTX._056_,9.18µm
uartUnit.fifoTX.o_data_to_read\[6\],9.18µm
uartUnit.uartTxUnit._062_,9.16µm
uartUnit.fifoTX._013_,9.145µm
alu_uart_interfaceUnit._055_,9.12µm
aluUnit._056_,9.1µm
uartUnit.baud_rateUnit._17_,9.08µm
aluUnit._136_,9.06µm
uartUnit.uartRxUnit._009_,9.005µm
uartUnit.uartRxUnit._044_,8.96µm
uartUnit.uartTxUnit._066_,8.94µm
uartUnit.fifoTX._036_,8.905µm
alu_uart_interfaceUnit._062_,8.9µm
uartUnit.uartTxUnit._030_,8.9µm
uartUnit.fifoTX._061_,8.84µm
alu_uart_interfaceUnit._034_,8.825µm
aluUnit._101_,8.82µm
uartUnit.uartTxUnit._075_,8.78µm
uartUnit.fifoTX._037_,8.685µm
uartUnit.fifoTX.array\[2\]\[1\],8.685µm
alu_uart_interfaceUnit._069_,8.6µm
uartUnit.fifoTX.array\[1\]\[7\],8.58µm
aluUnit._150_,8.56µm
uartUnit.fifoRX._018_,8.525µm
uartUnit.fifoTX.array\[2\]\[3\],8.48µm
uartUnit.uartRxUnit._056_,8.48µm
uartUnit.fifoTX.array\[0\]\[7\],8.46µm
aluUnit._123_,8.44µm
uartUnit.fifoTX.array\[3\]\[5\],8.32µm
uartUnit.uartTxUnit.send_byte\[2\],8.32µm
uartUnit.fifoTX._033_,8.285µm
aluUnit._007_,8.28µm
uartUnit.fifoRX.array\[3\]\[7\],8.24µm
uartUnit.fifoTX._040_,8.225µm
aluUnit._088_,8.16µm
uartUnit.fifoRX.array\[1\]\[7\],8.16µm
uartUnit.fifoRX._035_,8.155µm
uartUnit.fifoTX._018_,8.155µm
uartUnit.baud_rateUnit._21_,8.14µm
aluUnit._083_,8.1µm
uartUnit.fifoRX.array\[0\]\[2\],8.1µm
uartUnit.tx_not_empty,8.1µm
aluUnit._006_,8.06µm
alu_uart_interfaceUnit._042_,8.06µm
uartUnit.uartTxUnit._049_,8.04µm
aluUnit._016_,8.02µm
aluUnit._024_,8.02µm
alu_uart_interfaceUnit._063_,8.02µm
